"Chemical Name","Male Rat Chronic Bioassay Level of Evidence","Female Rat Chronic Bioassay Level of Evidence","Male Mouse Chronic Bioassay Level of Evidence","Female Mouse Chronic Bioassay Level of Evidence","Male Hamster Chronic Bioassay Level of Evidence","Female Hamster Chronic Bioassay Level of Evidence","Male Fish Chronic Bioassay Level of Evidence","Female Fish Chronic Bioassay Level of Evidence","Multiple Level of Evidence Conclusion? T/F","Bacterial Mutagenicity Conclusion","Male Rat Micronucleus Conclusion","Female Rat Micronucleus Conclusion","Male Mouse Micronucleus Conclusion","Female Mouse Micronucleus Conclusion","In Vitro Micronucleus Conclusion","Male Rat Comet Assay Conclusion","Female Rat Comet Assay Conclusion","Male Mouse Comet Assay Conclusion","Female Mouse Comet Assay Conclusion","NTP Publication Number",DTXSID,CASRN
"Picric acid",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=88-89-1)",,,,,,,,,,,DTXSID4025909," 88-89-1 ( https://cebs.niehs.nih.gov/cebs/test_article/88-89-1)"
"Picryl chloride",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=88-88-0)",,,,,,,,,,,DTXSID3025910," 88-88-0 ( https://cebs.niehs.nih.gov/cebs/test_article/88-88-0)"
Pinane,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=473-55-2)",,,,,,,,,,,DTXSID7025922," 473-55-2 ( https://cebs.niehs.nih.gov/cebs/test_article/473-55-2)"
"Pine bark extract",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=PINEBARKEXT)",,,,,,,,,,,DTXSID2031908," PINEBARKEXT ( https://cebs.niehs.nih.gov/cebs/test_article/PINEBARKEXT)"
Piperazine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=110-85-0)",,,,,,,,,,,DTXSID1021164," 110-85-0 ( https://cebs.niehs.nih.gov/cebs/test_article/110-85-0)"
Piperine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=94-62-2)",,,,,,,,,,,DTXSID3021805," 94-62-2 ( https://cebs.niehs.nih.gov/cebs/test_article/94-62-2)"
Piperonal,,,,,,,,,,"Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=120-57-0)",,,,,,,,,,,DTXSID7025924," 120-57-0 ( https://cebs.niehs.nih.gov/cebs/test_article/120-57-0)"
"Piperonal acetone",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=3160-37-0)",,,,,,,,,,,DTXSID7025926," 3160-37-0 ( https://cebs.niehs.nih.gov/cebs/test_article/3160-37-0)"
"Piperonyl acetate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=326-61-4)",,,,,,,,,,,DTXSID2025925," 326-61-4 ( https://cebs.niehs.nih.gov/cebs/test_article/326-61-4)"
"Poly(2-hydroxypropyl methacrylate)",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=25703-79-1)",,,,,,,,,,,DTXSID1025934," 25703-79-1 ( https://cebs.niehs.nih.gov/cebs/test_article/25703-79-1)"
"Polyethylene AS",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=9002-88-4)",,,,,,,,,,,DTXSID8031946," 9002-88-4 ( https://cebs.niehs.nih.gov/cebs/test_article/9002-88-4)"
"Polyethylene glycol 200",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=25322-68-3)",,,,,,,,,,,DTXSID9026922," 25322-68-3 ( https://cebs.niehs.nih.gov/cebs/test_article/25322-68-3)"
Polystyrene,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=9003-53-6)",,,,,,,,,,,DTXSID5031925," 9003-53-6 ( https://cebs.niehs.nih.gov/cebs/test_article/9003-53-6)"
"Polystyrene high mol. wt.",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=EMTDP-91)",,,,,,,,,,,DTXSID5031925," EMTDP-91 ( https://cebs.niehs.nih.gov/cebs/test_article/EMTDP-91)"
"Polystyrene med mol. wt.",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=EMTDP-90)",,,,,,,,,,,DTXSID5031925," EMTDP-90 ( https://cebs.niehs.nih.gov/cebs/test_article/EMTDP-90)"
Polythiazide,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=346-18-9)",,,,,,,,,,,DTXSID6025939," 346-18-9 ( https://cebs.niehs.nih.gov/cebs/test_article/346-18-9)"
"Polyvinylchloride latex",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=9002-86-2)",,,,,,,,,,,DTXSID5025940," 9002-86-2 ( https://cebs.niehs.nih.gov/cebs/test_article/9002-86-2)"
"Polyvinylpyrrolidone polymers",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=9003-39-8)",,,,,,,,,,,DTXSID0025941," 9003-39-8 ( https://cebs.niehs.nih.gov/cebs/test_article/9003-39-8)"
"Ponceau 3R",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=3564-09-8)",,,,,,,,,,,DTXSID7021231," 3564-09-8 ( https://cebs.niehs.nih.gov/cebs/test_article/3564-09-8)"
"Ponceau MX",,,,,,,,,,"Weakly Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=3761-53-3)",,,,,,,,,,,DTXSID8021228," 3761-53-3 ( https://cebs.niehs.nih.gov/cebs/test_article/3761-53-3)"
"Potassium bromate",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7758-01-2)",,,,,,,,,,,DTXSID6020195," 7758-01-2 ( https://cebs.niehs.nih.gov/cebs/test_article/7758-01-2)"
"Potassium bromide",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7758-02-3)",,,,,,,,,,,DTXSID5025946," 7758-02-3 ( https://cebs.niehs.nih.gov/cebs/test_article/7758-02-3)"
"Potassium chloride",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7447-40-7)",,,,,,,,,,,DTXSID5021178," 7447-40-7 ( https://cebs.niehs.nih.gov/cebs/test_article/7447-40-7)"
"Potassium dichromate",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7778-50-9)",,,,,,,,,,,DTXSID5025948," 7778-50-9 ( https://cebs.niehs.nih.gov/cebs/test_article/7778-50-9)"
"Potassium dicyanoaurate",,,,,,,,,,"Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=13967-50-5)",,,,,,,,,,,DTXSID8044549," 13967-50-5 ( https://cebs.niehs.nih.gov/cebs/test_article/13967-50-5)"
"Potassium ferricyanide",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=13746-66-2)",,,,,,,,,,,DTXSID9031939," 13746-66-2 ( https://cebs.niehs.nih.gov/cebs/test_article/13746-66-2)"
"Potassium hydroxycitrate tribasic monohydrate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=232281-44-6)",,,,,,,,,,,DTXSID90725093," 232281-44-6 ( https://cebs.niehs.nih.gov/cebs/test_article/232281-44-6)"
"Potassium oleate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=143-18-0)",,,,,,,,,,,DTXSID0025949," 143-18-0 ( https://cebs.niehs.nih.gov/cebs/test_article/143-18-0)"
Prednisone,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=53-03-2)",,,,,,,,,,,DTXSID4021185," 53-03-2 ( https://cebs.niehs.nih.gov/cebs/test_article/53-03-2)"
Prilocaine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=721-50-6)",,,,,,,,,,,DTXSID7031955," 721-50-6 ( https://cebs.niehs.nih.gov/cebs/test_article/721-50-6)"
"Prilocaine hydrochloride",,,,,,,,,," ()",,,Negative,,,,,,,,DTXSID2031956," 1786-81-8 ( https://cebs.niehs.nih.gov/cebs/test_article/1786-81-8)"
Progesterone,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=57-83-0)",,,,,,,,,,,DTXSID3022370," 57-83-0 ( https://cebs.niehs.nih.gov/cebs/test_article/57-83-0)"
"Propanediol (2,2-bis (benzoyloxy)methyl)-dibenzoate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=4196-86-5)",,,,,,,,,,,DTXSID8024608," 4196-86-5 ( https://cebs.niehs.nih.gov/cebs/test_article/4196-86-5)"
"Propantheline bromide",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=50-34-0)",,,,,,,,,,,DTXSID2023519," 50-34-0 ( https://cebs.niehs.nih.gov/cebs/test_article/50-34-0)"
Propiolactone,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=57-57-8)",,,,,,,,,,,DTXSID8021197," 57-57-8 ( https://cebs.niehs.nih.gov/cebs/test_article/57-57-8)"
Propionaldehyde,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=123-38-6)",,,,,,,,,,,DTXSID2021658," 123-38-6 ( https://cebs.niehs.nih.gov/cebs/test_article/123-38-6)"
"Propionic acid",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=79-09-4)",,,,,,,,,,,DTXSID8025961," 79-09-4 ( https://cebs.niehs.nih.gov/cebs/test_article/79-09-4)"
Propionitrile,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=107-12-0)",,,,,,,,,,,DTXSID1021879," 107-12-0 ( https://cebs.niehs.nih.gov/cebs/test_article/107-12-0)"
Propyl-4-hydroxybenzoate,,,,,,,,,,"Negative; Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=94-13-3)",,,,,,,,,,,DTXSID4022527," 94-13-3 ( https://cebs.niehs.nih.gov/cebs/test_article/94-13-3)"
"Propylene glycol phenyl ether",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=770-35-4)",Negative,,,,,,,,,,DTXSID30274171," 770-35-4 ( https://cebs.niehs.nih.gov/cebs/test_article/770-35-4)"
Propylenediamine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=78-90-0)",,,,,,,,,,,DTXSID4021761," 78-90-0 ( https://cebs.niehs.nih.gov/cebs/test_article/78-90-0)"
Pyrazineethanethiol,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=35250-53-4)",,,,,,,,,,,DTXSID2025977," 35250-53-4 ( https://cebs.niehs.nih.gov/cebs/test_article/35250-53-4)"
Pyrene,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=129-00-0)",,,,,,,,,,,DTXSID3024289," 129-00-0 ( https://cebs.niehs.nih.gov/cebs/test_article/129-00-0)"
"Pyridostigmine bromide",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=101-26-8)",,,,,,,,,,,DTXSID9023540," 101-26-8 ( https://cebs.niehs.nih.gov/cebs/test_article/101-26-8)"
Pyrilamine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=91-84-9)",,,,,,,,,,,DTXSID9023542," 91-84-9 ( https://cebs.niehs.nih.gov/cebs/test_article/91-84-9)"
"Pyrilamine maleate",,,,,,,,,," ()",,,Negative,,,,,,,,DTXSID4021216," 59-33-6 ( https://cebs.niehs.nih.gov/cebs/test_article/59-33-6)"
"Quaternary ammonium compounds, benzyl-C8-18-alkyldimethyl, chlorides",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=63449-41-2)",,,,,,,,,,,DTXSID1048122," 63449-41-2 ( https://cebs.niehs.nih.gov/cebs/test_article/63449-41-2)"
"Quercetin dihydrate",,,,,,,,,," ()",,,Negative,,,,,,,,DTXSID9021219," 6151-25-3 ( https://cebs.niehs.nih.gov/cebs/test_article/6151-25-3)"
"Quinacrine dihydrochloride",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=69-05-6)",,,,,,,,,,,DTXSID6025985," 69-05-6 ( https://cebs.niehs.nih.gov/cebs/test_article/69-05-6)"
"Quinethazone (aquamox)",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=73-49-4)",,,,,,,,,,,DTXSID9023548," 73-49-4 ( https://cebs.niehs.nih.gov/cebs/test_article/73-49-4)"
Quinidine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=56-54-2)",,,,,,,,,,,DTXSID4023549," 56-54-2 ( https://cebs.niehs.nih.gov/cebs/test_article/56-54-2)"
Quinoline,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=91-22-5)",,,,,,,,,,,DTXSID1021798," 91-22-5 ( https://cebs.niehs.nih.gov/cebs/test_article/91-22-5)"
"Reactive blue 19",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2580-78-1)",,,,,,,,,,,DTXSID5025992," 2580-78-1 ( https://cebs.niehs.nih.gov/cebs/test_article/2580-78-1)"
Rescinnamine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=24815-24-5)",,,,,,,,,,,DTXSID3023554," 24815-24-5 ( https://cebs.niehs.nih.gov/cebs/test_article/24815-24-5)"
"Resorcine blue",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=87495-30-5)",,,,,,,,,,,DTXSID0025995," 87495-30-5 ( https://cebs.niehs.nih.gov/cebs/test_article/87495-30-5)"
Resveratrol,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=501-36-0)",Negative,Negative,Negative,Negative,,,,,,,DTXSID4031980," 501-36-0 ( https://cebs.niehs.nih.gov/cebs/test_article/501-36-0)"
Retinal,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=116-31-4)",,,,,,,,,,,DTXSID5025998," 116-31-4 ( https://cebs.niehs.nih.gov/cebs/test_article/116-31-4)"
"Rhein (1,8-dihydroxy-3-carboxyl anthraquinone)",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=478-43-3)",,,,,,,,,,,DTXSID4026000," 478-43-3 ( https://cebs.niehs.nih.gov/cebs/test_article/478-43-3)"
Rhodanine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=141-84-4)",,,,,,,,,,,DTXSID4026002," 141-84-4 ( https://cebs.niehs.nih.gov/cebs/test_article/141-84-4)"
Ribavirin,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=36791-04-5)",,,Positive,,,,,,,,DTXSID8023557," 36791-04-5 ( https://cebs.niehs.nih.gov/cebs/test_article/36791-04-5)"
Riboflavin,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=83-88-5)",,,,,,,,,,,DTXSID8021777," 83-88-5 ( https://cebs.niehs.nih.gov/cebs/test_article/83-88-5)"
"S-(ethyl)chlorothioformic acid",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2941-64-2)",,,,,,,,,,,DTXSID6025278," 2941-64-2 ( https://cebs.niehs.nih.gov/cebs/test_article/2941-64-2)"
"S-(n-propyl)chlorothioformic acid",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=13889-92-4)",,,,,,,,,,,DTXSID8025963," 13889-92-4 ( https://cebs.niehs.nih.gov/cebs/test_article/13889-92-4)"
S-adenosylmethionine,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=29908-03-0)",,,,,,,,,,,DTXSID6032019," 29908-03-0 ( https://cebs.niehs.nih.gov/cebs/test_article/29908-03-0)"
"S-adenosylmethionine chloride",,,,,,,,,," ()",,,Negative,,,,,,,,DTXSID5032020," 24346-00-7 ( https://cebs.niehs.nih.gov/cebs/test_article/24346-00-7)"
"S-ethyl dipropylthiocarbamate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=759-94-4)",,,,,,,,,,,DTXSID1024091," 759-94-4 ( https://cebs.niehs.nih.gov/cebs/test_article/759-94-4)"
Saccharin,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=81-07-2)",,,,,,,,,,,DTXSID5021251," 81-07-2 ( https://cebs.niehs.nih.gov/cebs/test_article/81-07-2)"
"Safflower oil",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=8001-23-8)",,,,,,,,,,TR-426,DTXSID2021076," 8001-23-8 ( https://cebs.niehs.nih.gov/cebs/test_article/8001-23-8)"
Safrole,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=94-59-7)",,,,,,,,,,,DTXSID0021254," 94-59-7 ( https://cebs.niehs.nih.gov/cebs/test_article/94-59-7)"
Scutellaria,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=SCUTELLARIA)",,,,,,,,,,,DTXSID8040199," SCUTELLARIA ( https://cebs.niehs.nih.gov/cebs/test_article/SCUTELLARIA)"
"Semicarbazide hydrochloride",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=563-41-7)",,,,,,,,,,,DTXSID4020244," 563-41-7 ( https://cebs.niehs.nih.gov/cebs/test_article/563-41-7)"
Seneciphylline,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=480-81-9)",,,,,,,,,,,DTXSID8026016," 480-81-9 ( https://cebs.niehs.nih.gov/cebs/test_article/480-81-9)"
"Senna (powdered)",,,,,,,,,,"Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=8013-11-4)",,,Negative,,,,,,,,DTXSID3026017," 8013-11-4 ( https://cebs.niehs.nih.gov/cebs/test_article/8013-11-4)"
"Sennoside A",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=81-27-6)",,,,,,,,,,,DTXSID1023576," 81-27-6 ( https://cebs.niehs.nih.gov/cebs/test_article/81-27-6)"
"Sennoside B",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=128-57-4)",,,,,,,,,,,DTXSID6051433," 128-57-4 ( https://cebs.niehs.nih.gov/cebs/test_article/128-57-4)"
Sesamol,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=533-31-3)",,,,,,,,,,,DTXSID9021267," 533-31-3 ( https://cebs.niehs.nih.gov/cebs/test_article/533-31-3)"
"Shikimic acid",,,,,,,,,,"Equivocal (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=138-59-0)",,,,,,,,,,,DTXSID4032039," 138-59-0 ( https://cebs.niehs.nih.gov/cebs/test_article/138-59-0)"
Silybin,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=22888-70-6)",,,,,,,,,,,DTXSID8026018," 22888-70-6 ( https://cebs.niehs.nih.gov/cebs/test_article/22888-70-6)"
Silymarin,,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=65666-07-1)",,,,,,,,,,,DTXSID5023580," 65666-07-1 ( https://cebs.niehs.nih.gov/cebs/test_article/65666-07-1)"
Simazine,,,,,,,,,," ()",,,,,,Negative,,,,,DTXSID4021268," 122-34-9 ( https://cebs.niehs.nih.gov/cebs/test_article/122-34-9)"
"Sodium (2-ethylhexyl)alcohol sulfate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=126-92-1)",,,,,,,,,,,DTXSID1026033," 126-92-1 ( https://cebs.niehs.nih.gov/cebs/test_article/126-92-1)"
"Sodium Metavanadate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=13718-26-8)",,,,,,,,,,,DTXSID3044336," 13718-26-8 ( https://cebs.niehs.nih.gov/cebs/test_article/13718-26-8)"
"Sodium aluminosilicate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=1344-00-9)",,,,,,,,,,,DTXSID7026021," 1344-00-9 ( https://cebs.niehs.nih.gov/cebs/test_article/1344-00-9)"
"Sodium arsenilate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=127-85-5)",,,,,,,,,,,DTXSID2026022," 127-85-5 ( https://cebs.niehs.nih.gov/cebs/test_article/127-85-5)"
"Sodium arsenite",,,,,,,,,," ()",,,,,,Negative,,,,,DTXSID5020104," 7784-46-5 ( https://cebs.niehs.nih.gov/cebs/test_article/7784-46-5)"
"Sodium bromate",,,,,,,,,," ()",,,Positive,Positive,,,,,,,DTXSID9023837," 7789-38-0 ( https://cebs.niehs.nih.gov/cebs/test_article/7789-38-0)"
"Sodium chloride",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7647-14-5)",,,,,,Negative,,,,,DTXSID3021271," 7647-14-5 ( https://cebs.niehs.nih.gov/cebs/test_article/7647-14-5)"
"Sodium chromate",,,,,,,,,," ()",,,Negative,,,,,,,,DTXSID7032056," 7775-11-3 ( https://cebs.niehs.nih.gov/cebs/test_article/7775-11-3)"
"Sodium chromate tetrahydrate",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=10034-82-9)",,,,,,,,,,,DTXSID7026027," 10034-82-9 ( https://cebs.niehs.nih.gov/cebs/test_article/10034-82-9)"
"Sodium cyanide",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=143-33-9)",,,,,,,,,,,DTXSID4024309," 143-33-9 ( https://cebs.niehs.nih.gov/cebs/test_article/143-33-9)"
"Sodium dehydroacetate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=4418-26-2)",,,,,,,,,,,DTXSID7026029," 4418-26-2 ( https://cebs.niehs.nih.gov/cebs/test_article/4418-26-2)"
"Sodium dichloroisocyanurate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2893-78-9)",,,,,,,,,,,DTXSID3024994," 2893-78-9 ( https://cebs.niehs.nih.gov/cebs/test_article/2893-78-9)"
"Sodium dodecyl sulfate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=151-21-3)",,,,,,,,,,,DTXSID1026031," 151-21-3 ( https://cebs.niehs.nih.gov/cebs/test_article/151-21-3)"
"Sodium erythorbate",,,,,,,,,,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=6381-77-7)",,,,,,,,,,,DTXSID5020570," 6381-77-7 ( https://cebs.niehs.nih.gov/cebs/test_article/6381-77-7)"
"Sodium ligninsulfonate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=8061-51-6)",,,,,,,,,,,DTXSID5025499," 8061-51-6 ( https://cebs.niehs.nih.gov/cebs/test_article/8061-51-6)"
"Sodium mercaptobenzothiazole",,,,,,,,,,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2492-26-4)",,,,,,,,,,,DTXSID1026035," 2492-26-4 ( https://cebs.niehs.nih.gov/cebs/test_article/2492-26-4)"
"Sodium methohexital",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=309-36-4)",,,,,,,,,,,DTXSID6026036," 309-36-4 ( https://cebs.niehs.nih.gov/cebs/test_article/309-36-4)"
"Sodium naphthenate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=61790-13-4)",,,,,,,,,,,DTXSID1026037," 61790-13-4 ( https://cebs.niehs.nih.gov/cebs/test_article/61790-13-4)"
"Sodium orthovanadate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=13721-39-6)",,,,,,,,,,,DTXSID2037269," 13721-39-6 ( https://cebs.niehs.nih.gov/cebs/test_article/13721-39-6)"
"Sodium phosphate, dibasic",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=7558-79-4)",,,,,,,,,,,DTXSID1026039," 7558-79-4 ( https://cebs.niehs.nih.gov/cebs/test_article/7558-79-4)"
"Sodium ricinoleate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=5323-95-5)",,,,,,,,,,,DTXSID9026005," 5323-95-5 ( https://cebs.niehs.nih.gov/cebs/test_article/5323-95-5)"
"Sodium thioglycolate",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=367-51-1)",,,Negative,Positive,,,,,,,DTXSID3026142," 367-51-1 ( https://cebs.niehs.nih.gov/cebs/test_article/367-51-1)"
"Sorbic acid",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=110-44-1)",,,,,,,,,,,DTXSID3021277," 110-44-1 ( https://cebs.niehs.nih.gov/cebs/test_article/110-44-1)"
"Stearatochromic chloride complex",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=15242-96-3)",,,,,,,,,,,DTXSID0026046," 15242-96-3 ( https://cebs.niehs.nih.gov/cebs/test_article/15242-96-3)"
"Stearic acid",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=57-11-4)",,,,,,,,,,,DTXSID8021642," 57-11-4 ( https://cebs.niehs.nih.gov/cebs/test_article/57-11-4)"
Stearylpalmate,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=2598-99-4)",,,,,,,,,,,DTXSID0026048," 2598-99-4 ( https://cebs.niehs.nih.gov/cebs/test_article/2598-99-4)"
"Stoddard solvent",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=8052-41-3)",,,,,,,,,,,DTXSID9026051," 8052-41-3 ( https://cebs.niehs.nih.gov/cebs/test_article/8052-41-3)"
"Streptomycin sulfate",,,,,,,,,,"Weakly Positive; Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=3810-74-0)",,,,,,,,,,,DTXSID9026053," 3810-74-0 ( https://cebs.niehs.nih.gov/cebs/test_article/3810-74-0)"
"Styrax balsam",,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=8046-19-3)",,,,,,,,,,,DTXSID4026054," 8046-19-3 ( https://cebs.niehs.nih.gov/cebs/test_article/8046-19-3)"
"Styrene oxide",,,,,,,,,,"Positive (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=96-09-3)",,,,,,,,,,,DTXSID2021286," 96-09-3 ( https://cebs.niehs.nih.gov/cebs/test_article/96-09-3)"
Succinonitrile,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=110-61-2)",,,,,,,,,,,DTXSID9026059," 110-61-2 ( https://cebs.niehs.nih.gov/cebs/test_article/110-61-2)"
Sulfacetamide,,,,,,,,,,"Negative (https://cebs.niehs.nih.gov/datasets/search/ames?casrn=144-80-9)",,,,,,,,,,,DTXSID8026060," 144-80-9 ( https://cebs.niehs.nih.gov/cebs/test_article/144-80-9)"
